Term,Coefficient,SE,z,p,Singular_fit
(Intercept),23.002,0.708,32.51,7.699999999999996e-232,FALSE
GroupIL10-KO,3.339,1.001,3.34,8.38e-4,FALSE
GroupDSS-IL10-KO,2.316,1.001,2.31,0.0209,FALSE
Week,0.574,0.044,13.19,1e-39,FALSE
GroupIL10-KO:Week,-0.426,0.062,-6.91,4.85e-12,FALSE
GroupDSS-IL10-KO:Week,-0.427,0.062,-6.94,3.92e-12,FALSE
