Term,Coefficient,SE,z,p,Singular_fit
(Intercept),154.48,12.141,12.72,4.5799999999999995e-37,FALSE
GroupIL10-KO,-10.6,17.171,-0.62,0.535,FALSE
GroupDSS-IL10-KO,-9.4,17.171,-0.55,0.582,FALSE
Week,-0.733,1.544,-0.48,0.631,FALSE
GroupIL10-KO:Week,-1.8,2.183,-0.82,0.412,FALSE
GroupDSS-IL10-KO:Week,1.36,2.183,0.62,0.535,FALSE
