"Gene","Mafa","Insr","Glut1","Zfand6","Tcf19"
"Mafa",NA,9e-04,1e-04,0.1939,0.5069
"Insr",9e-04,NA,0.0019,0.0302,0.7738
"Glut1",1e-04,0.0019,NA,0.2337,0.3023
"Zfand6",0.1939,0.0302,0.2337,NA,0.0126
"Tcf19",0.5069,0.7738,0.3023,0.0126,NA
