"Gene","Mafa","Insr","Glut1","Zfand6","Tcf19"
"Mafa",12,12,12,12,12
"Insr",12,12,12,12,12
"Glut1",12,12,12,12,12
"Zfand6",12,12,12,12,12
"Tcf19",12,12,12,12,12
