"Group","Gene","Relative_expression","Fold_Change","Log2_Fold_Change"
"CTRL","Mafa",16.45716402,1.11025378085113,0.15088948425787
"CTRL","Mafa",11.59804134,0.782441569674698,-0.353945074839548
"CTRL","Mafa",14.48025883,0.976885330557125,-0.0337388702020802
"CTRL","Mafa",16.75607547,1.13041931891704,0.176858026718363
"CTRL","Zfand6",2531.439569,1.3164132552388,0.396612458444393
"CTRL","Zfand6",1770.924826,0.92092615740331,-0.118842613509923
"CTRL","Zfand6",1598.161802,0.83108497075449,-0.266932108121319
"CTRL","Zfand6",1791.403549,0.931575616603402,-0.102255216465382
"CTRL","Insr",184.0453694,1.11776983316604,0.160623144589072
"CTRL","Insr",170.5854367,1.03602310529371,0.0510561782377331
"CTRL","Insr",156.795328,0.952271106799034,-0.0705557348482057
"CTRL","Insr",147.1902069,0.893935954741214,-0.161756620399399
"CTRL","Glut1",1523.902773,1.28252510081167,0.35898706167026
"CTRL","Glut1",1016.440367,0.855441900397227,-0.225258221300859
"CTRL","Glut1",1169.277116,0.984070163559363,-0.023166912442325
"CTRL","Glut1",1043.199855,0.877962835231741,-0.187768224103583
"CTRL","Tcf19",152.2819125,1.13684610850393,0.185036974085451
"CTRL","Tcf19",120.0781907,0.896432291743693,-0.157733475602439
"CTRL","Tcf19",112.8775157,0.84267633860414,-0.246949478373684
"CTRL","Tcf19",150.5672235,1.12404526114824,0.1687001287256
"IL10-KO","Mafa",3.514365623,0.237090528810869,-2.07649006306917
"IL10-KO","Mafa",8.594638457,0.579822248252273,-0.786317403041326
"IL10-KO","Mafa",6.912783022,0.46635881352655,-1.10048771231966
"IL10-KO","Mafa",4.208850625,0.283942744555809,-1.81632804710447
"IL10-KO","Zfand6",960.1832806,0.499319839003636,-1.00196386584091
"IL10-KO","Zfand6",1726.126743,0.897630009633216,-0.155807185846522
"IL10-KO","Zfand6",1189.89559,0.618776109138946,-0.692510599283581
"IL10-KO","Zfand6",1128.878308,0.587045563481411,-0.76845561257821
"IL10-KO","Insr",78.52844745,0.476929845565432,-1.06815102760496
"IL10-KO","Insr",123.3587352,0.749199359449237,-0.416578428781851
"IL10-KO","Insr",68.51716927,0.41612796406459,-1.2649008532201
"IL10-KO","Insr",46.74327079,0.283887707487051,-1.81660771405831
"IL10-KO","Glut1",467.3596056,0.393332459201084,-1.34617884733996
"IL10-KO","Glut1",1061.278531,0.893177950113248,-0.162980459104191
"IL10-KO","Glut1",688.601902,0.579531213820855,-0.787041727336703
"IL10-KO","Glut1",617.8035466,0.519946921761374,-0.943563740133802
"IL10-KO","Tcf19",119.3408487,0.890927735295884,-0.166619677908218
"IL10-KO","Tcf19",182.6046111,1.36321732578653,0.447015576700054
"IL10-KO","Tcf19",174.0340593,1.29923468791703,0.377662056276292
"IL10-KO","Tcf19",62.89726993,0.469553575874886,-1.09063831669041
"DSS-IL10-KO","Mafa",6.13495333,0.413883894071912,-1.27270198643677
"DSS-IL10-KO","Mafa",7.51476185,0.506970262070607,-0.980026970975383
"DSS-IL10-KO","Mafa",3.321210481,0.224059655056696,-2.15804519922804
"DSS-IL10-KO","Mafa",5.941148878,0.400809215754476,-1.31901241427233
"DSS-IL10-KO","Zfand6",1902.01095,0.989094291189591,-0.0158200340169036
"DSS-IL10-KO","Zfand6",2286.429625,1.18900182425041,0.249750928569694
"DSS-IL10-KO","Zfand6",740.0318889,0.384835490357844,-1.37768624119983
"DSS-IL10-KO","Zfand6",3017.172268,1.56900666939607,0.649851484800709
"DSS-IL10-KO","Insr",142.0466847,0.862697603186253,-0.213073147111998
"DSS-IL10-KO","Insr",115.9096819,0.703958737033523,-0.506437227987524
"DSS-IL10-KO","Insr",43.84906101,0.266310191717518,-1.90882045319965
"DSS-IL10-KO","Insr",109.294747,0.663783998034753,-0.591214244371682
"DSS-IL10-KO","Glut1",577.6152138,0.486124196001577,-1.04060315129216
"DSS-IL10-KO","Glut1",598.0438884,0.503317082854348,-0.990460530370629
"DSS-IL10-KO","Glut1",258.9340147,0.217920315646468,-2.19812739675301
"DSS-IL10-KO","Glut1",511.2102983,0.430237447545593,-1.21679499356412
"DSS-IL10-KO","Tcf19",302.7647624,2.2602614865804,1.17648968572474
"DSS-IL10-KO","Tcf19",354.6500552,2.64760619640118,1.40468855237575
"DSS-IL10-KO","Tcf19",158.1641377,1.18075930028213,0.239714898959207
"DSS-IL10-KO","Tcf19",409.5088149,3.05714904005504,1.6121868872288
