"Gene","Mafa","Ins1","Ins2","Insr","Tbc1d4","Glut1","Zfand6","Srr"
"Mafa",1,0.625,0.116,0.732,0.58,0.598,0.094,0.425
"Ins1",0.625,1,0.809,0.949,0.933,-0.166,0.791,-0.335
"Ins2",0.116,0.809,1,0.635,0.868,-0.663,0.996,-0.814
"Insr",0.732,0.949,0.635,1,0.832,-0.031,0.596,-0.15
"Tbc1d4",0.58,0.933,0.868,0.832,1,-0.248,0.856,-0.473
"Glut1",0.598,-0.166,-0.663,-0.031,-0.248,1,-0.649,0.955
"Zfand6",0.094,0.791,0.996,0.596,0.856,-0.649,1,-0.809
"Srr",0.425,-0.335,-0.814,-0.15,-0.473,0.955,-0.809,1
