"Gene","Mafa","Ins1","Ins2","Insr","Tbc1d4","Glut1","Zfand6","Srr"
"Mafa",NA,0.2593,0.8529,0.1597,0.3049,0.2869,0.8809,0.4758
"Ins1",0.2593,NA,0.0972,0.0138,0.0204,0.7893,0.1107,0.5816
"Ins2",0.8529,0.0972,NA,0.2494,0.0563,0.2224,3e-04,0.0936
"Insr",0.1597,0.0138,0.2494,NA,0.0802,0.9609,0.2889,0.8096
"Tbc1d4",0.3049,0.0204,0.0563,0.0802,NA,0.6875,0.064,0.4208
"Glut1",0.2869,0.7893,0.2224,0.9609,0.6875,NA,0.2357,0.0112
"Zfand6",0.8809,0.1107,3e-04,0.2889,0.064,0.2357,NA,0.097
"Srr",0.4758,0.5816,0.0936,0.8096,0.4208,0.0112,0.097,NA
