"Gene","Mafa","Ins1","Ins2","Insr","Tbc1d4","Glut1","Zfand6","Srr"
"Mafa",5,5,5,5,5,5,5,5
"Ins1",5,5,5,5,5,5,5,5
"Ins2",5,5,5,5,5,5,5,5
"Insr",5,5,5,5,5,5,5,5
"Tbc1d4",5,5,5,5,5,5,5,5
"Glut1",5,5,5,5,5,5,5,5
"Zfand6",5,5,5,5,5,5,5,5
"Srr",5,5,5,5,5,5,5,5
