Organ,Gene,Group,Relative_expression,Fold_Change,Log2_Fold_Change
Pancreas,Insr,DSS-IL10-KO,15.99349848,0.7950910881152125,-0.33080794537803243
Pancreas,Glut1,DSS-IL10-KO,23.09539242,0.8557064979620785,-0.2248120488963487
Pancreas,Glut1,DSS-IL10-KO,17.91113353,0.6636247208432349,-0.5915604654144764
Pancreas,Glut1,DSS-IL10-KO,22.89125088,0.8481428576001718,-0.23762080817312844
Pancreas,Glut1,DSS-IL10-KO,20.96858059,0.7769060744932998,-0.3641879030156589
Pancreas,Tcf19,DSS-IL10-KO,1.702571472,,
Pancreas,Tcf19,DSS-IL10-KO,2.340862076,,
Pancreas,Tcf19,DSS-IL10-KO,0.948082041,,
Pancreas,Tcf19,DSS-IL10-KO,3.134797392,,
Pancreas,Tbc1d4,CTRL,27.03836656,1.1316850222909074,0.17847247406104658
Pancreas,Tbc1d4,CTRL,28.74417152,1.2030811223436888,0.26673392502196697
Pancreas,Tbc1d4,CTRL,18.20425385,0.7619351331120717,-0.3922599149128477
Pancreas,Tbc1d4,CTRL,21.58173121,0.9032987222533322,-0.14672492684322044
Pancreas,Mafa,CTRL,7.060480874,0.7874072745359448,-0.344818053855416
Pancreas,Mafa,CTRL,4.778918759,0.53296021367466,-0.9079002573563691
Pancreas,Mafa,CTRL,16.04170826,1.789022306741448,0.8391713760005713
Pancreas,Mafa,CTRL,7.985875318,0.8906102050479475,-0.1671339519054284
Pancreas,Ins1,CTRL,4.190090392,1.8838785085389254,0.913705928443247
Pancreas,Ins1,CTRL,,,
Pancreas,Ins1,CTRL,0.792137569,0.35614767282695176,-1.489452531560267
Pancreas,Ins1,CTRL,1.690320783,0.7599738186341228,-0.39597837682762854
Pancreas,Ins2,CTRL,4359.33218,1.0590898886932962,0.08282504114196958
Pancreas,Ins2,CTRL,4492.266776,1.0913860479827973,0.12616150587405697
Pancreas,Ins2,CTRL,3738.947775,0.9083689013244219,-0.13864977971996637
Pancreas,Ins2,CTRL,3873.899683,0.9411551619994843,-0.08749550477762486
Pancreas,Srr,CTRL,31.27924519,1.0181833303483887,0.025997351169508347
Pancreas,Srr,CTRL,24.34597825,0.7924957608343886,-0.3355248767830301
Pancreas,Srr,CTRL,30.87906018,1.0051567466261073,0.007420496376361194
Pancreas,Srr,CTRL,36.37828284,1.1841641621911156,0.24386909748867705
Pancreas,Glp1r,CTRL,,,
Pancreas,Glp1r,CTRL,,,
Pancreas,Glp1r,CTRL,,,
Pancreas,Glp1r,CTRL,,,
Pancreas,Zfand6,CTRL,192.5971564,1.2937125255222612,0.3715170732197192
Pancreas,Zfand6,CTRL,123.0863492,0.8267949260378953,-0.27439855977957484
Pancreas,Zfand6,CTRL,111.099412,0.7462763395324886,-0.42221814825223564
Pancreas,Zfand6,CTRL,168.7038002,1.1332162089073552,0.1804231425002156
Pancreas,Ghrhr,CTRL,10.90535101,1.4876854886969064,0.5730695588002104
Pancreas,Ghrhr,CTRL,7.039997533,0.960381941003302,-0.058319819463487306
Pancreas,Ghrhr,CTRL,7.811548678,1.0656353566110572,0.09171385535328558
Pancreas,Ghrhr,CTRL,3.564760059,0.4862972136887346,-1.040089769420069
Pancreas,Insr,CTRL,17.49424449,0.8696982654984228,-0.20141313803413696
Pancreas,Insr,CTRL,18.14689749,0.902143861099696,-0.148570582531043
Pancreas,Insr,CTRL,18.09702215,0.8996643886815565,-0.1525411768715406
Pancreas,Insr,CTRL,26.72304953,1.328493484720325,0.4097911524917796
Pancreas,Glut1,CTRL,,,
Pancreas,Glut1,CTRL,30.45162344,1.1282619310913766,0.17410203477495148
Pancreas,Glut1,CTRL,,,
Pancreas,Glut1,CTRL,23.52808216,0.8717380689086233,-0.19803338127586595
Pancreas,Tcf19,CTRL,,,
Pancreas,Tcf19,CTRL,,,
Pancreas,Tcf19,CTRL,,,
Pancreas,Tcf19,CTRL,,,
