"Group","n","Mean_Delta_0_6","SEM_Delta_0_6","Mean_Delta_6_12","SEM_Delta_6_12","Mean_Delta_0_12","SEM_Delta_0_12"
"CTRL",5,-52.4,13.63,44.6,14.1,-7.8,23.67
"IL10-KO",5,-1,5.67,-39.6,6.83,-40.6,11.08
"DSS-IL10-KO",5,-22.2,23.26,30.6,7.54,8.4,25.46
