"Group","Week_num","n","mean","sd","sem","median","min","max","Mean_SEM"
"CTRL","0",5,174.2,33.61,15.03,191,125,204,"174.2 ± 15.03"
"CTRL","6",5,121.8,13.75,6.15,119,108,144,"121.8 ± 6.15"
"CTRL","12",5,166.4,24.14,10.8,158,146,208,"166.4 ± 10.8"
"IL10-KO","0",5,159.4,35.39,15.83,159,118,198,"159.4 ± 15.83"
"IL10-KO","6",5,158.4,26.54,11.87,146,134,194,"158.4 ± 11.87"
"IL10-KO","12",5,118.8,27.56,12.33,120,85,155,"118.8 ± 12.33"
"DSS-IL10-KO","0",5,166,37.91,16.96,148,130,226,"166 ± 16.96"
"DSS-IL10-KO","6",5,143.8,26.47,11.84,131,120,184,"143.8 ± 11.84"
"DSS-IL10-KO","12",5,174.4,21.65,9.68,176,140,200,"174.4 ± 9.68"
