"Gene","Mafa","Ins1","Ins2","Insr","Tbc1d4","Glut1","Zfand6","Srr"
"Mafa",NA,0.2869,0.9504,0.646,0.9436,0.7527,0.5761,0.2366
"Ins1",0.2869,NA,0.6269,0.7572,0.3642,0.4934,0.1693,0.6854
"Ins2",0.9504,0.6269,NA,0.3483,0.8474,0.1719,0.0987,0.1751
"Insr",0.646,0.7572,0.3483,NA,0.208,0.1621,0.5247,0.7484
"Tbc1d4",0.9436,0.3642,0.8474,0.208,NA,0.6743,0.852,0.8401
"Glut1",0.7527,0.4934,0.1719,0.1621,0.6743,NA,0.7178,0.1576
"Zfand6",0.5761,0.1693,0.0987,0.5247,0.852,0.7178,NA,0.6412
"Srr",0.2366,0.6854,0.1751,0.7484,0.8401,0.1576,0.6412,NA
