"Group","Week_num","n","mean","sd","sem","median","min","max","Mean_SEM"
"CTRL","0",5,0.327,0.1,0.045,0.298,0.253,0.501,"0.327 ± 0.045"
"CTRL","6",5,0.545,0.236,0.105,0.461,0.303,0.917,"0.545 ± 0.105"
"CTRL","12",5,1.221,0.478,0.214,1.061,0.881,2.064,"1.221 ± 0.214"
"IL10-KO","0",5,0.42,0.108,0.048,0.429,0.289,0.565,"0.42 ± 0.048"
"IL10-KO","6",5,0.275,0.06,0.027,0.256,0.21,0.337,"0.275 ± 0.027"
"IL10-KO","12",5,0.265,0.052,0.023,0.266,0.207,0.341,"0.265 ± 0.023"
"DSS-IL10-KO","0",5,0.574,0.133,0.06,0.569,0.438,0.777,"0.574 ± 0.06"
"DSS-IL10-KO","6",5,0.278,0.066,0.03,0.26,0.217,0.39,"0.278 ± 0.03"
"DSS-IL10-KO","12",5,0.233,0.019,0.009,0.239,0.201,0.253,"0.233 ± 0.009"
