"Gene","Mafa","Ins1","Ins2","Insr","Tbc1d4","Glut1","Zfand6","Srr"
"Mafa",1,0.598,0.039,0.282,0.044,0.195,0.34,0.648
"Ins1",0.598,1,0.297,-0.192,0.524,0.41,0.721,0.25
"Ins2",0.039,0.297,1,0.539,0.12,-0.718,0.807,-0.714
"Insr",0.282,-0.192,0.539,1,-0.678,-0.729,0.383,-0.199
"Tbc1d4",0.044,0.524,0.12,-0.678,1,0.259,0.116,-0.126
"Glut1",0.195,0.41,-0.718,-0.729,0.259,1,-0.224,0.734
"Zfand6",0.34,0.721,0.807,0.383,0.116,-0.224,1,-0.286
"Srr",0.648,0.25,-0.714,-0.199,-0.126,0.734,-0.286,1
