"Gene","group1","group2","n1","n2","statistic","Test_Method","p","p_adj_method","p.adj","p.adj.signif"
"Glut1","CTRL","IL10-KO",2,4,6,"Wilcoxon rank-sum",0.533,"Benjamini-Hochberg",0.533,"ns"
"Glut1","CTRL","DSS-IL10-KO",2,4,8,"Wilcoxon rank-sum",0.133,"Benjamini-Hochberg",0.399,"ns"
"Glut1","IL10-KO","DSS-IL10-KO",4,4,4,"Wilcoxon rank-sum",0.343,"Benjamini-Hochberg",0.515,"ns"
"Insr","CTRL","IL10-KO",4,4,10,"Wilcoxon rank-sum",0.686,"Benjamini-Hochberg",0.857,"ns"
"Insr","CTRL","DSS-IL10-KO",4,3,5,"Wilcoxon rank-sum",0.857,"Benjamini-Hochberg",0.857,"ns"
"Insr","IL10-KO","DSS-IL10-KO",4,3,4,"Wilcoxon rank-sum",0.629,"Benjamini-Hochberg",0.857,"ns"
"Tbc1d4","CTRL","IL10-KO",4,4,2,"Wilcoxon rank-sum",0.114,"Benjamini-Hochberg",0.171,"ns"
"Tbc1d4","CTRL","DSS-IL10-KO",4,4,2,"Wilcoxon rank-sum",0.114,"Benjamini-Hochberg",0.171,"ns"
"Tbc1d4","IL10-KO","DSS-IL10-KO",4,4,12,"Wilcoxon rank-sum",0.343,"Benjamini-Hochberg",0.343,"ns"
