"Gene","Group","n","mean_Log2FC","sd_Log2FC","sem_Log2FC"
"Mafa","CTRL",4,-0.145,0.728,0.364
"Mafa","IL10-KO",4,-0.383,0.501,0.25
"Mafa","DSS-IL10-KO",4,-0.65,0.892,0.446
"Ins1","CTRL",3,-0.324,1.203,0.695
"Ins1","DSS-IL10-KO",3,0.485,0.725,0.419
"Ins2","CTRL",4,-0.004,0.129,0.064
"Ins2","IL10-KO",4,-1.6,0.267,0.134
"Ins2","DSS-IL10-KO",4,3.117,0.202,0.101
