"Gene","Group","n","mean_Log2FC","sd_Log2FC","sem_Log2FC"
"Insr","CTRL",4,-0.023,0.29,0.145
"Insr","IL10-KO",4,-0.271,0.495,0.248
"Insr","DSS-IL10-KO",3,0.312,0.709,0.409
"Tbc1d4","CTRL",4,-0.023,0.303,0.152
"Tbc1d4","IL10-KO",4,0.639,0.504,0.252
"Tbc1d4","DSS-IL10-KO",4,0.351,0.304,0.152
"Glut1","CTRL",2,-0.012,0.263,0.186
"Glut1","IL10-KO",4,-0.808,0.825,0.412
"Glut1","DSS-IL10-KO",4,-0.355,0.17,0.085
