Group,Parameter,Replicate,Value
DSS-IL10-KO,ALB,Rep3,2.6
DSS-IL10-KO,ALP,Rep3,38
DSS-IL10-KO,ALT,Rep3,30
DSS-IL10-KO,AMY,Rep3,733
DSS-IL10-KO,TBIL,Rep3,0.2
DSS-IL10-KO,BUN,Rep3,15
DSS-IL10-KO,CA,Rep3,10.1
DSS-IL10-KO,PHOS,Rep3,9.1
DSS-IL10-KO,CRE,Rep3,0.2
DSS-IL10-KO,GLU,Rep3,197
DSS-IL10-KO,NA+,Rep3,151
DSS-IL10-KO,K+,Rep3,8.5
DSS-IL10-KO,TP,Rep3,4.8
DSS-IL10-KO,GLOB,Rep3,2.2
