Group,Gene,Relative_expression,Tissue
DSS-IL10-KO,Insr,78.24897777,Large_Intestine
DSS-IL10-KO,Insr,30.90996253,Large_Intestine
DSS-IL10-KO,Insr,44.32350298,Large_Intestine
DSS-IL10-KO,Insr,128.8903104,Large_Intestine
DSS-IL10-KO,Glut1,464.6498075,Large_Intestine
DSS-IL10-KO,Glut1,292.0355113,Large_Intestine
DSS-IL10-KO,Glut1,433.5335999,Large_Intestine
DSS-IL10-KO,Glut1,704.2774109,Large_Intestine
DSS-IL10-KO,Tcf19,55.71523605,Large_Intestine
DSS-IL10-KO,Tcf19,40.78594007,Large_Intestine
DSS-IL10-KO,Tcf19,54.94818793,Large_Intestine
DSS-IL10-KO,Tcf19,117.7840193,Large_Intestine
