"Gene","Mafa","Glp1r","Insr","Zfand6","Tcf19"
"Mafa",12,12,12,12,12
"Glp1r",12,12,12,12,12
"Insr",12,12,12,12,12
"Zfand6",12,12,12,12,12
"Tcf19",12,12,12,12,12
