"Group","n","mean","sd","sem","median","min","max","Mean_SEM"
"CTRL",3,3.49,0.17,0.1,3.46,3.33,3.67,"3.49 ± 0.1"
"IL10-KO",3,2.67,0.74,0.43,2.78,1.89,3.36,"2.67 ± 0.43"
"DSS-IL10-KO",3,1.44,0.35,0.2,1.3,1.18,1.84,"1.44 ± 0.2"
