"Group","Week_num","n","mean","sd","sem","median","min","max","Mean_SEM"
"CTRL","0",5,1.67,0.64,0.28,1.94,1,2.4,"1.67 ± 0.28"
"CTRL","12",5,0.95,0.32,0.14,0.8,0.7,1.45,"0.95 ± 0.14"
"IL10-KO","0",5,0.74,0.26,0.12,0.6,0.48,1.1,"0.74 ± 0.12"
"IL10-KO","12",5,0.55,0.42,0.19,0.47,-0.01,1.11,"0.55 ± 0.19"
"DSS-IL10-KO","0",5,0.73,0.31,0.14,0.56,0.49,1.21,"0.73 ± 0.14"
"DSS-IL10-KO","1",5,1.04,0.34,0.15,0.86,0.73,1.56,"1.04 ± 0.15"
"DSS-IL10-KO","7",5,2.05,0.58,0.26,2.29,1.37,2.58,"2.05 ± 0.26"
"DSS-IL10-KO","12",5,1.11,0.37,0.16,1.3,0.65,1.46,"1.11 ± 0.16"
