"Group","Gene","Relative_expression","Fold_Change","Log2_Fold_Change"
"CTRL","Mafa",31.55944654,0.361879612423396,-1.46641826345263
"CTRL","Mafa",97.00586026,1.11232759006701,0.1535817367701
"CTRL","Mafa",142.0248924,1.62854291348376,0.703581736469765
"CTRL","Mafa",78.24897777,0.897249884025834,-0.156418263321757
"CTRL","Glp1r",3.530811985,0.349106734795092,-1.51825990596645
"CTRL","Glp1r",14.52030649,1.43568584463947,0.521740094589375
"CTRL","Glp1r",11.55143356,1.14214046782048,0.19174009357795
"CTRL","Glp1r",10.85283462,1.07306695274496,0.101740094155648
"CTRL","Zfand6",1710.260059,0.597201344840632,-0.743710680599224
"CTRL","Zfand6",3640.699622,1.27128660871053,0.346289319368659
"CTRL","Zfand6",3420.520118,1.19440268968126,0.256289319400776
"CTRL","Zfand6",2683.685691,0.937109356767573,-0.0937106806630442
"CTRL","Insr",45.88656794,0.357448389071678,-1.48419314448035
"CTRL","Insr",149.0858991,1.16135324254973,0.215806855719841
"CTRL","Insr",182.278425,1.41991725038071,0.505806855121517
"CTRL","Insr",136.2393834,1.06128111799788,0.0858068558966097
"CTRL","Tcf19",48.50293013,0.446500566975102,-1.16326608757749
"CTRL","Tcf19",157.5864849,1.45068462187489,0.536733912298315
"CTRL","Tcf19",100.4267645,0.924492750614055,-0.113266088069312
"CTRL","Tcf19",128,1.17832206053595,0.236733912372921
"IL10-KO","Mafa",0.496546248,0.00569369819425646,-7.45641826246166
"IL10-KO","Mafa",0.447512535,0.00513144812331083,-7.60641826477529
"IL10-KO","Mafa",0.392292049,0.00449825678878651,-7.79641826308964
"IL10-KO","Mafa",0.876605721,0.0100516889027678,-6.63641826379961
"IL10-KO","Glp1r",0.598739352,0.0591999633676471,-4.07825990664567
"IL10-KO","Glp1r",1,0.0988743485289524,-3.3382599059
"IL10-KO","Glp1r",0.901250463,0.0891105523905417,-3.48825990527703
"IL10-KO","Glp1r",0.641712949,0.0634489497749679,-3.97825990540866
"IL10-KO","Zfand6",210.8393004,0.0736224371735375,-3.76371068074852
"IL10-KO","Zfand6",333.143515,0.116329533708029,-3.10371068057852
"IL10-KO","Zfand6",272.4787667,0.0951461650860882,-3.39371068065093
"IL10-KO","Zfand6",347.2907078,0.121269555853444,-3.04371068071877
"IL10-KO","Insr",15.13692235,0.117913994277921,-3.08419314436235
"IL10-KO","Insr",6.91629785,0.0538767581845522,-4.21419314468675
"IL10-KO","Insr",0.933032992,0.00726816484460588,-7.10419314387398
"IL10-KO","Insr",0.882702996,0.00687610292322384,-7.18419314506523
"IL10-KO","Tcf19",29.04061297,0.267337460265918,-1.90326608763449
"IL10-KO","Tcf19",22.16175149,0.204013130318614,-2.29326608761242
"IL10-KO","Tcf19",23.26356028,0.214155986597906,-2.22326608744878
"IL10-KO","Tcf19",21.85664411,0.201204421282002,-2.31326608749971
"DSS-IL10-KO","Mafa",3.655325801,0.0419141660951041,-4.57641826324697
"DSS-IL10-KO","Mafa",6.634556367,0.0760758172247444,-3.71641826317414
"DSS-IL10-KO","Mafa",2.445280555,0.028039058872224,-5.15641826350613
"DSS-IL10-KO","Mafa",9.18958684,0.105373334724847,-3.24641826327577
"DSS-IL10-KO","Glp1r",5.028053498,0.49714551398347,-1.00825990592505
"DSS-IL10-KO","Glp1r",3.972369982,0.392765494086216,-1.34825990580853
"DSS-IL10-KO","Glp1r",4.34693945,0.429800806213553,-1.21825990593459
"DSS-IL10-KO","Glp1r",9.51365692,0.94065663009296,-0.0882599059033016
"DSS-IL10-KO","Zfand6",922.8804737,0.322258277108487,-1.63371068062934
"DSS-IL10-KO","Zfand6",481.0356476,0.167971610019926,-2.57371068060097
"DSS-IL10-KO","Zfand6",564.1754193,0.197002974699059,-2.34371068068196
"DSS-IL10-KO","Zfand6",1296.134752,0.452593985877021,-1.14371068085932
"DSS-IL10-KO","Insr",78.24897777,0.609545936993256,-0.714193144632451
"DSS-IL10-KO","Insr",30.90996253,0.24078323589294,-2.05419314438459
"DSS-IL10-KO","Insr",44.32350298,0.345272384697218,-1.53419314457552
"DSS-IL10-KO","Insr",128.8903104,1.00403311661204,0.00580685532855217
"DSS-IL10-KO","Tcf19",55.71523605,0.512894466763149,-0.963266087651728
"DSS-IL10-KO","Tcf19",40.78594007,0.375460726126393,-1.41326608777622
"DSS-IL10-KO","Tcf19",54.94818793,0.505833297065581,-0.983266087680016
"DSS-IL10-KO","Tcf19",117.7840193,1.0842774087483,0.11673391261809
