"Gene","Mafa","Glut1","Zfand6","Insr"
"Mafa",NA,0.891,0.0024,0.0687
"Glut1",0.891,NA,0.2096,0.1601
"Zfand6",0.0024,0.2096,NA,0.0041
"Insr",0.0687,0.1601,0.0041,NA
