"Gene","Tbc1d4","Glut1","Zfand6","Tcf19","Ghrhr"
"Tbc1d4",12,12,12,12,12
"Glut1",12,12,12,12,12
"Zfand6",12,12,12,12,12
"Tcf19",12,12,12,12,12
"Ghrhr",12,12,12,12,12
