"Group","Gene","Relative_expression","Fold_Change","Log2_Fold_Change"
"CTRL","Mafa",0.279849186,1.82163803542071,0.865236320071997
"CTRL","Mafa",0.143963489,0.937109630450276,-0.0937102593241492
"CTRL","Mafa",0.093176275,0.60651756385248,-0.721378670619938
"CTRL","Mafa",0.097511144,0.634734770276536,-0.655774220390883
"CTRL","Zfand6",109.8273304,1.56645648058599,0.647504689201518
"CTRL","Zfand6",69.4339342,0.990329418042298,-0.0140195992658958
"CTRL","Zfand6",46.06339157,0.656997652403983,-0.606039879394831
"CTRL","Zfand6",55.12317436,0.786216448967729,-0.347001547207874
"CTRL","Insr",27.48858307,1.44009998870286,0.526168984027145
"CTRL","Insr",12.43542387,0.651479697192782,-0.618207875749663
"CTRL","Insr",16.72903981,0.876418037992042,-0.190308917435237
"CTRL","Insr",19.69882683,1.03200227611232,0.0454461526723429
"CTRL","Glut1",208.5274997,1.38890682734662,0.473949821613366
"CTRL","Glut1",151.5625689,1.00948933362865,0.0136256670811304
"CTRL","Glut1",111.640973,0.743589741565963,-0.427421227661168
"CTRL","Glut1",128.820401,0.858014097458768,-0.220926743005467
"IL10-KO","Mafa",0.934683845,6.08419008638915,2.60506522742253
"IL10-KO","Mafa",0.722433047,4.70257403736052,2.2334506577287
"IL10-KO","Mafa",0.66890832,4.35416252352925,2.12239525858576
"IL10-KO","Mafa",0.643421337,4.18825867258533,2.06635054783978
"IL10-KO","Zfand6",164.9085021,2.35207384971886,1.23393335819747
"IL10-KO","Zfand6",95.02747674,1.3553676141536,0.438684204484078
"IL10-KO","Zfand6",93.20437936,1.32936495438541,0.410737226210874
"IL10-KO","Zfand6",96.93629207,1.38259286066584,0.467376381091458
"IL10-KO","Insr",31.20026201,1.63455121909007,0.708894585040019
"IL10-KO","Insr",25.5626827,1.33920395146379,0.421375689832442
"IL10-KO","Insr",20.95794372,1.09796617881502,0.134833614992156
"IL10-KO","Insr",19.85032029,1.03993887035142,0.0564987264117203
"IL10-KO","Glut1",222.4880131,1.4818914572032,0.567439779702128
"IL10-KO","Glut1",153.7103481,1.02379471396844,0.0339264625737863
"IL10-KO","Glut1",189.8945667,1.26480133577153,0.338910796456887
"IL10-KO","Glut1",85.34246638,0.568427350772964,-0.814952121103303
"DSS-IL10-KO","Mafa",0.274090702,1.78415401186253,0.835240157051932
"DSS-IL10-KO","Mafa",0.29327934,1.90905969169795,0.932862213045812
"DSS-IL10-KO","Mafa",0.319686423,2.08095280128631,1.05724424324605
"DSS-IL10-KO","Mafa",0.307985761,2.00478902449118,1.0034504215504
"DSS-IL10-KO","Zfand6",94.37564023,1.34607053371239,0.428754008737961
"DSS-IL10-KO","Zfand6",91.81165132,1.30950061045566,0.389016732236158
"DSS-IL10-KO","Zfand6",94.50765995,1.34795351807709,0.430770748451613
"DSS-IL10-KO","Zfand6",80.51526173,1.14838130967659,0.199601755462399
"DSS-IL10-KO","Insr",23.87127361,1.25059268309837,0.32261198154242
"DSS-IL10-KO","Insr",21.99892203,1.15250201460741,0.204769272530166
"DSS-IL10-KO","Insr",25.93647191,1.35878640268463,0.442318686416591
"DSS-IL10-KO","Insr",26.46001069,1.38621408745265,0.471150085075831
"DSS-IL10-KO","Glut1",212.5112484,1.41544076544027,0.501251375387285
"DSS-IL10-KO","Glut1",340.586409,2.26849115556516,1.18173303489379
"DSS-IL10-KO","Glut1",193.3310896,1.28769045171552,0.364785825247686
"DSS-IL10-KO","Glut1",213.330482,1.42089730782373,0.506802290789674
