"Gene1","Gene2","N_pair","Correlation","P_value","Signif"
"Mafa","Zfand6",12,0.787636723412986,0.00235187217379695,"**"
"Insr","Zfand6",12,0.75982787437421,0.00413645831697584,"**"
"Insr","Mafa",12,0.541998915204548,0.0687050950666923,"ns"
"Glut1","Insr",12,0.432680084589282,0.160055923665129,"ns"
"Glut1","Zfand6",12,0.390378273858499,0.209622426211085,"ns"
"Glut1","Mafa",12,0.0443893882779108,0.891046977941894,"ns"
