Organ1,Organ2,Col1,Col2,Gene1,Gene2,N,Correlation,P_value,Group,Sig_raw
Liver,Spleen,Liver_Ghrhr,Spleen_Insr,Ghrhr,Insr,4,-0.8439994800090275,0.15600051999097264,DSS-IL10-KO,False
Liver,Spleen,Liver_Ghrhr,Spleen_Mafa,Ghrhr,Mafa,4,-0.9920146971346058,0.007985302865394228,DSS-IL10-KO,True
Liver,Spleen,Liver_Ghrhr,Spleen_Tcf19,Ghrhr,Tcf19,4,-0.7446729367636477,0.25532706323635246,DSS-IL10-KO,False
Liver,Spleen,Liver_Ghrhr,Spleen_Zfand6,Ghrhr,Zfand6,4,-0.6619994023114059,0.33800059768859425,DSS-IL10-KO,False
Liver,Pancreas,Liver_Glut1,Pancreas_Glut1,Glut1,Glut1,4,0.6235272083860206,0.3764727916139794,DSS-IL10-KO,False
Liver,Pancreas,Liver_Glut1,Pancreas_Ins1,Glut1,Ins1,3,0.36848851808194016,0.7597507728615334,DSS-IL10-KO,False
Liver,Pancreas,Liver_Glut1,Pancreas_Ins2,Glut1,Ins2,4,-0.7803240439396045,0.21967595606039536,DSS-IL10-KO,False
Liver,Pancreas,Liver_Glut1,Pancreas_Insr,Glut1,Insr,3,-0.9886003980886493,0.0962173505250168,DSS-IL10-KO,False
Liver,Pancreas,Liver_Glut1,Pancreas_Mafa,Glut1,Mafa,4,0.33767933755015017,0.6623206624498499,DSS-IL10-KO,False
Liver,Pancreas,Liver_Glut1,Pancreas_Srr,Glut1,Srr,4,-0.429253360523833,0.5707466394761669,DSS-IL10-KO,False
Liver,Pancreas,Liver_Glut1,Pancreas_Tbc1d4,Glut1,Tbc1d4,4,0.9766175715539843,0.02338242844601579,DSS-IL10-KO,True
Liver,Pancreas,Liver_Glut1,Pancreas_Zfand6,Glut1,Zfand6,4,0.4476290725150381,0.552370927484962,DSS-IL10-KO,False
Liver,Spleen,Liver_Glut1,Spleen_Glut1,Glut1,Glut1,4,-0.27704409543742076,0.7229559045625793,DSS-IL10-KO,False
