"Organ_Pair","Organ1","Organ2","Gene_Organ1","Gene_Organ2","Correlation","P_value","N","Gene1","Gene2","Group","Analysis_Note","Significance","Significant"
"Colon_vs_Spleen","Colon","Spleen","Colon_Mafa","Spleen_Ghrhr",0.776451359830703,0.00297890912851714,12,"Mafa","Ghrhr","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Liver_vs_Spleen","Liver","Spleen","Liver_Zfand6","Spleen_Tcf19",0.772860348923586,0.00320495489115265,12,"Zfand6","Tcf19","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Mafa","Colon_Zfand6",-0.768140926834485,0.0035215916344116,12,"Mafa","Zfand6","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Pancreas_vs_Liver","Pancreas","Liver","Pancreas_Glp1r","Liver_Tcf19",0.881905562661061,0.00376137750818211,8,"Glp1r","Tcf19","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Colon_vs_Spleen","Colon","Spleen","Colon_Glp1r","Spleen_Ghrhr",0.76369791598513,0.00384087402578563,12,"Glp1r","Ghrhr","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Liver_vs_Spleen","Liver","Spleen","Liver_Mafa","Spleen_Tcf19",0.759421584677379,0.00416846024693447,12,"Mafa","Tcf19","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Liver_vs_Spleen","Liver","Spleen","Liver_Glut1","Spleen_Tcf19",0.758144692325133,0.0042702581113879,12,"Glut1","Tcf19","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Colon_vs_Spleen","Colon","Spleen","Colon_Zfand6","Spleen_Mafa",0.755711371848773,0.00446944898696714,12,"Zfand6","Mafa","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Mafa","Colon_Tcf19",-0.751118588086139,0.00486447960591714,12,"Mafa","Tcf19","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Colon_vs_Spleen","Colon","Spleen","Colon_Insr","Spleen_Ghrhr",0.749051826507261,0.00505060476860216,12,"Insr","Ghrhr","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Pancreas_vs_Spleen","Pancreas","Spleen","Pancreas_Ghrhr","Spleen_Srr",0.802060314594377,0.00524859737416929,10,"Ghrhr","Srr","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Colon_vs_Spleen","Colon","Spleen","Colon_Mafa","Spleen_Mafa",0.732230299613469,0.00677238655426833,12,"Mafa","Mafa","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Colon_vs_Spleen","Colon","Spleen","Colon_Glut1","Spleen_Mafa",0.732226253679286,0.00677284744581976,12,"Glut1","Mafa","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Zfand6","Colon_Glp1r",-0.730590755932574,0.0069610921043892,12,"Zfand6","Glp1r","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Pancreas_vs_Spleen","Pancreas","Spleen","Pancreas_Srr","Spleen_Mafa",0.728935574612112,0.00715557251923865,12,"Srr","Mafa","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
