Organ1,Organ2,Col1,Col2,Gene1,Gene2,N,Correlation,P_value,rank,BH_threshold,p_adj_BH,Sig_raw,Sig_BH
Colon,Pancreas,Colon_Insr,Pancreas_Zfand6,Insr,Zfand6,12,-0.6853828950809779,0.013892694137771187,25,0.004355400696864112,0.15106604096639575,True,False
Colon,Kidney,Colon_Zfand6,Kidney_Insr,Zfand6,Insr,12,-0.6819656569997932,0.014569337319763499,26,0.004529616724738676,0.15106604096639575,True,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Zfand6,Glp1r,Zfand6,12,-0.6812691961319848,0.01471017011774527,27,0.004703832752613241,0.15106604096639575,True,False
Colon,Kidney,Colon_Mafa,Kidney_Zfand6,Mafa,Zfand6,12,-0.6811314114014492,0.01473815033818495,28,0.004878048780487806,0.15106604096639575,True,False
Liver,Spleen,Liver_Tcf19,Spleen_Tcf19,Tcf19,Tcf19,12,0.672221658115676,0.01663223125918431,29,0.00505226480836237,0.16460173694434127,True,False
Colon,Kidney,Colon_Mafa,Kidney_Mafa,Mafa,Mafa,12,-0.6682406307718431,0.01753392036204992,30,0.005226480836236934,0.1677411714636109,True,False
Kidney,Pancreas,Kidney_Glut1,Pancreas_Ins2,Glut1,Ins2,12,0.650959738131885,0.021868179574075705,31,0.0054006968641114985,0.202457017347088,True,False
Colon,Kidney,Colon_Tcf19,Kidney_Zfand6,Tcf19,Zfand6,12,-0.6468738285516594,0.022997555717635773,32,0.005574912891986063,0.20625932784254583,True,False
Colon,Kidney,Colon_Glp1r,Kidney_Insr,Glp1r,Insr,12,-0.6368462362955342,0.025948304489735317,33,0.005749128919860628,0.22567161783497078,True,False
Colon,Spleen,Colon_Mafa,Spleen_Insr,Mafa,Insr,12,0.6247402705400157,0.029864628590903625,34,0.005923344947735192,0.24754714900374553,True,False
Colon,Pancreas,Colon_Tcf19,Pancreas_Zfand6,Tcf19,Zfand6,12,-0.6234896926633561,0.030292092576156258,35,0.006097560975609756,0.24754714900374553,True,False
Kidney,Spleen,Kidney_Mafa,Spleen_Mafa,Mafa,Mafa,12,-0.619777424134676,0.03158691537527066,36,0.0062717770034843206,0.24754714900374553,True,False
Kidney,Spleen,Kidney_Mafa,Spleen_Insr,Mafa,Insr,12,-0.6169402760659696,0.03260294834035876,37,0.006445993031358885,0.24754714900374553,True,False
Pancreas,Spleen,Pancreas_Srr,Spleen_Glut1,Srr,Glut1,12,0.616462633441963,0.032776277568440176,38,0.00662020905923345,0.24754714900374553,True,False
Colon,Spleen,Colon_Insr,Spleen_Insr,Insr,Insr,12,0.612394946320407,0.03427925426704982,39,0.006794425087108014,0.252260153195982,True,False
Colon,Pancreas,Colon_Mafa,Pancreas_Srr,Mafa,Srr,12,0.6071375963878601,0.0362940648718025,40,0.006968641114982578,0.26040991545518294,True,False
Colon,Spleen,Colon_Glp1r,Spleen_Insr,Glp1r,Insr,12,0.601317546429854,0.03862157868847484,41,0.007142857142857143,0.2703510508193239,True,False
Liver,Spleen,Liver_Tcf19,Spleen_Glut1,Tcf19,Glut1,12,-0.5923670564023295,0.04240545674141552,42,0.007317073170731707,0.2897706210663394,True,False
Colon,Spleen,Colon_Zfand6,Spleen_Glut1,Zfand6,Glut1,12,0.5885398991660086,0.044100890936168466,43,0.007491289198606272,0.2943478069460546,True,False
Colon,Pancreas,Colon_Mafa,Pancreas_Tbc1d4,Mafa,Tbc1d4,12,-0.5809509929378239,0.04760358544875059,44,0.007665505226480836,0.30455725931966654,True,False
Colon,Spleen,Colon_Mafa,Spleen_Glut1,Mafa,Glut1,12,0.5786424765598761,0.04870684692025083,45,0.0078397212543554,0.30455725931966654,True,False
Colon,Pancreas,Colon_Zfand6,Pancreas_Srr,Zfand6,Srr,12,0.5784201175000319,0.048814055500713105,46,0.008013937282229966,0.30455725931966654,True,False
Liver,Spleen,Liver_Ghrhr,Spleen_Glut1,Ghrhr,Glut1,12,-0.5734423680292638,0.051257702148671334,47,0.008188153310104529,0.3129991599291207,False,False
Colon,Spleen,Colon_Insr,Spleen_Mafa,Insr,Mafa,12,0.5624698600458732,0.056944939194217704,48,0.008362369337979096,0.31419622376059536,False,False
Colon,Kidney,Colon_Tcf19,Kidney_Insr,Tcf19,Insr,12,-0.5600755742020246,0.058242035928092774,49,0.00853658536585366,0.31419622376059536,False,False
Liver,Pancreas,Liver_Glut1,Pancreas_Srr,Glut1,Srr,12,-0.5600505862454928,0.05825568055301474,50,0.008710801393728224,0.31419622376059536,False,False
